hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,Size_m2
Hilton Garden Inn Riyadh Financial District,Riyadh,539,King Room,1,7.4,Good,700,37
Areej Hotel,Makkah,55,Double Room with Private Bathroom,2,6.3,Very good,239,30
Al Rabwah House,Riyadh,180,One-Bedroom Apartment,2,6.5,Very good,4,40
Naviti Warwick Dammam,Dammam,289,Standard Double Room,1,7.8,Good,3572,28
Nadra Furnished Apartments,Taif,280,Two-Bedroom Apartment,3,6.8,Very good,268,100
Najd Peak By Quiet Rooms,Riyadh,162,One-Bedroom Apartment,2,5.4,Very good,530,28
شقق جنان المفروشة Jenaan Apartments,Najran,133,One-Bedroom Apartment,1,8.1,Good,280,28
Mabet Al Tahlia Hotel Apartments,Jeddah,237,Deluxe King Studio,1,7.9,Good,1099,35
Diamond Tower Hotel,Jeddah,219,Superior  Twin Studio,2,8.6,Fabulous,1189,29
العييرى للوحدات السكنية بالقنفذة,Al Qunfudhah,95,Double Room with Private Bathroom,4,5.3,Very good,21,35
Maset Al Masem Al Khobar,Riyadh,300,Double Room with Private Bathroom,2,7.9,Good,648,30
دار شيمة,An Nuqrah,130,Deluxe Double Room,2,0.0,Very good,0,37
Taj Al Khaleej Furnished Units 2,Turayf,150,Deluxe Apartment,2,8.8,Fabulous,116,28
القبة الذهبية1,Riyadh,205,Two-Bedroom Apartment,3,6.6,Very good,180,40
Al Taif Gate Hotel Suites,Taif ,167,One-Bedroom Apartment,1,7.6,Good,4328,35
HDB hotel Sahafa فندق هدب الصحافه,Riyadh,324,Deluxe Double Room,1,7.6,Good,1157,28
Hayaa Hotel,Makkah,70,Double Room with Private Bathroom,2,6.3,Very good,386,28
ريف العلا,Al Ula ,250,King Room,1,7.8,Good,9,35
Nozol Royal Inn Hotel,Madinah,180,Quadruple Room with Bathroom,4,7.0,Good,4108,29
Golden Garden Al Corniche,Dammam,299,King Suite,1,7.2,Good,4641,35
Al Atlal Hotel,Riyadh,207,Double Room,1,6.9,Very good,1353,30
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic City,705,Deluxe Double Room with City View,1,8.2,Good,9052,37
فندق المحمل العصري,Sharurah,150,Double Room,1,0.0,Very good,0,28
Ghoson Al Zaitoun Furnished Units,Sakakah  ,130,Double Room,1,7.1,Good,51,37
